x,LatM,LonM,Lat,Lon
Caquetá,869892,-738419063,"0,8698920000","-73,84190630000000"
Antioquia,71986064,-753412179,"7,1986064000","-75,34121790000000"
Cauca,27049813,-768259651,"2,7049813000","-76,82596510000000"
Antioquia,71986064,-753412179,"7,1986064000","-75,34121790000000"
Norte de Santander,79462831,-728988069,"7,9462831000","-72,89880690000000"
Antioquia,71986064,-753412179,"7,1986064000","-75,34121790000000"
Cesar,93.372.948,-736.536.208,"9,3372948000","-73,65362080000000"
Antioquia,71986064,-753412179,"7,1986064000","-75,34121790000000"
Cesar,93.372.948,-736.536.208,"9,3372948000","-73,65362080000000"
Vaupés,8.553.561,-708.119.952,"8,5535610000","-70,81199520000000"
Cesar,93.372.948,-736.536.208,"9,3372948000","-73,65362080000000"
Casanare,57.589.269,-715.723.952,"5,7589269000","-71,57239520000000"
Magdalena,104.113.014,-744.056.612,"10,4113014000","-74,40566120000000"
Santander,66.437.076,-7.365.362.089.999.990,"6,6437076000","-73,65362089999990"
Antioquia,71986064,-753412179,"7,1986064000","-75,34121790000000"
Antioquia,71986064,-753412179,"7,1986064000","-75,34121790000000"
Tolima,4.092.516.799.999.990,-7.515.453.809.999.990,"4,0925168000","-75,15453809999990"
Bolívar,86.704.382,-7.403.001.219.999.990,"8,6704382000","-74,03001219999990"
Arauca,6.547.306.000.000.000,-7.100.223.110.000.000,"6,5473060000","-71,00223110000000"
Huila,25.359.349,-7.552.766.989.999.990,"2,5359349000","-75,52766989999990"
Caquetá,869892,-738419063,"0,8698920000","-73,84190630000000"
Bolívar,86.704.382,-7.403.001.219.999.990,"8,6704382000","-74,03001219999990"
Bolívar,86.704.382,-7.403.001.219.999.990,"8,6704382000","-74,03001219999990"
Antioquia,71986064,-753412179,"7,1986064000","-75,34121790000000"
Antioquia,71986064,-753412179,"7,1986064000","-75,34121790000000"
Boyacá,5.454.511,-7.336.200.300.000.000,"5,4545110000","-73,36200300000000"
Casanare,57.589.269,-715.723.952,"5,7589269000","-71,57239520000000"
Antioquia,71986064,-753412179,"7,1986064000","-75,34121790000000"
Córdoba,8.049.292.999.999.990,-7.557.405,"8,0492930000","-75,57405000000000"
